Country,Civil partnership,Eligibility info,UK CNI,Type,Duration,Postal application,Additional documentation,Certified passport,Additional marriage service,Additional service description,CNI delivery,Delivery cost,Other (localised content),Confirmation email delay
Afghanistan,,,TRUE,None,,,,,,,,,,
Albania,,,,CNI,3 months,FALSE,,TRUE,,,FALSE,,,
Algeria,,,,,,,,,,,,,,
American Samoa,,,,None,,,,,,,,,,
Andorra, or civil partnership,,,No consulate,,,,,,,,,,
Angola,,,,,,,,,,,,,,
Anguilla,,,,UK Overseas Territory,,,,,,,,,,
Antigua and Barbuda,,,N/A,Commonwealth,,,,,,,,,,
Argentina, or civil partnership,,,None,,,,,,,,,,
Armenia,,,,CNI,3 months,FALSE,*partner’s proof of address,FALSE,,,FALSE,,,
Aruba, or opposite-sex civil partnership,,,None,,,,,,,,,,
Australia, or civil partnership,<br>Testing field for eligibility,N/A,Commonwealth,,,,,,,,,,
Austria, or civil partnership,,,Affirmation,,,,,,,,,,
Azerbaijan,,,TRUE,Affirmation,3 months,,,FALSE,,,,,<br>Your partner must come to your appointment with you and bring their passport.,
The Bahamas,,,N/A,Commonwealth,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,
Bangladesh,,,N/A,Commonwealth,,,,,,,,,,
Barbados,,,N/A,Commonwealth,,,,,,,,,,
Belarus,,,TRUE,Affirmation,6 months,,,TRUE,,,,,,
Belgium, or civil partnership,,,Affirmation,,,,,,,,,,
Belize,,,N/A,Commonwealth,,,,,,,,,,
Benin,,,,CNI,3 months,FALSE,*premarital medical certificate *partner’s premarital medical certificate,TRUE,,,FALSE,,,
Bermuda, or opposite-sex civil partnership,,,UK Overseas Territory,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,
Bolivia,,,,CNI,,FALSE,,,,,TRUE,,,
Bonaire/St Eustatius/Saba,,,,Dutch territory,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,
Botswana,,,N/A,Commonwealth,,,,,,,,,,
Brazil, or civil partnership,,TRUE,Affirmation,3 months,,,FALSE,,,,,,
British Indian Ocean Territory,,,,UK Overseas Territory,,,,,,,,,,
British Virgin Islands,,,,UK Overseas Territory,,,,,,,,,,
Brunei,,,N/A,Commonwealth,,,,,,,,,,
Bulgaria,,,,CNI,6 months,hybrid,*partner’s residence permit,FALSE,,,hybrid,,,
Burkina Faso,,,,CNI,3 months,FALSE,*premarital medical certificate,TRUE,,,FALSE,,,
Burundi,,,,,,,,,,,,,,
Cambodia,,,TRUE,Affirmation,3 months,,,TRUE,,,,,,
Cameroon,,,N/A,Commonwealth,,,,,,,,,,
Canada, or civil partnership,,N/A,Commonwealth,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,
Cayman Islands,,,,UK Overseas Territory,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,
Chile, or opposite-sex civil partnership,,,None,,,,,,,,,,
China,,,,Digitised,6 months,,,,,,,,,
Colombia, or civil partnership,,TRUE,Affirmation,3 months,,*test field for additional doc,TRUE,,,,,<br>Testing field for localised content,
Comoros,,,,,,,,,,,,,,
Congo,,,,,,,,,,,,,,
Democratic Republic of the Congo,,,,,,,,,,,,,,
Costa Rica,,,TRUE,Affirmation,3 months,,,FALSE,,,,,,
Ivory Coast,,,,None,,,,,,,,,,
Croatia,,,,CNI,3 months,HYBRID,,FALSE,Certificate of Custom Law,It confirms that your marriage will be valid in the UK.,FALSE,,,
Cuba,,,,CNI,6 months,FALSE,,FALSE,,,FALSE,,,
Curaçao,,,,Dutch territory,,,,,,,,,,
Cyprus, or opposite-sex civil partnership,,N/A,Commonwealth,,,,,,,,,,
Czechia, or same-sex civil partnership,,,?,,,,,,,,,,
Denmark, or same-sex civil partnership,,,None,,,,,,,,,"You should apply for a document showing that you’re free to marry from the General Register Office, National Records of Scotland or nidirect.",
Djibouti,,,,,,,,,,,,,,
Dominica,,,N/A,Commonwealth,,,,,,,,,,
Dominican Republic,,,,None,,,,,,,,,,
Ecuador, or civil partnership,,,CNI,3 months,FALSE,,FALSE,,,FALSE,,,
Egypt,,,,,,,,,,,,,,
El Salvador,,,,CNI,3 months,FALSE,,TRUE,,,FALSE,,,
Equatorial Guinea,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,
Estonia, or opposite-sex civil partnership,,,CNI,6 months,FALSE,,FALSE,,,FALSE,,,
Eswatini,,,N/A,Commonwealth,,,,,,,,,,
Ethiopia,,,TRUE,Affirmation,,,,,,,,,,
Falkland Islands,,,,UK Overseas Territory,,,,,,,,,,
Fiji,,,N/A,Commonwealth,,,,,,,,,,
Finland, or same-sex civil partnership,,TRUE,Affirmation,3 months,,*partner’s birth certificate,FALSE,,,,,,
France, or civil partnership,,N/A,French territory,,,,,,,,,,
French Guiana,,,,French territory,,,,,,,,,,
French Polynesia,,,,French territory,,,,,,,,,,
Gabon,,,,,,,,,,,,,,
Georgia,,,,?,,,,,,,,,,
Germany, or same-sex civil partnership,<br>Testing field for eligibility,TRUE,Germany,,,,,,,,,,
Ghana,,,N/A,Commonwealth,,,,,,,,,,
Gibraltar,,,,UK Overseas Territory,,,,,,,,,,
Greece, or opposite-sex civil partnership,,,,,,,,,,,,,
Grenada,,,N/A,Commonwealth,,,,,,,,,,
Guadeloupe,,,,French territory,,,,,,,,,,
Guatemala,,,,CNI,6 months,FALSE,,TRUE,,,FALSE,,,
Guinea,,,,CNI,3 months,FALSE,*premarital medical certificate *partner’s premarital medical certificate *photo ID (in addition to your UK passport),TRUE,,,FALSE,,,
Guinea-Bissau,,,,,,,,,,,,,,
Guyana,,,N/A,Commonwealth,,,,,,,,,,
Haiti,,,,None,,,,,,,,,,
Honduras,,,,,,,,,,,,,,
Hong Kong,,,,None,,,,,,,,,,
Hungary, or civil partnership,,,None,,,,,,,,,,
Iceland, or same-sex civil partnership,,TRUE,CNI,3 months,FALSE,,FALSE,,,FALSE,,,
India,,,N/A,Commonwealth,,,,,,,,,,
Indonesia,,,TRUE,Affirmation,,,,,,,,,,
Iran,,,,CNI,3 months,FALSE,,FALSE,,,FALSE,,,
Iraq,,,,,,,,,,,,,,
Ireland,,,,None,,,,,,,,,,
Israel, or opposite-sex civil partnership,,,,,,,,,,,,,
Italy,,,,CNI,6 months,hybrid,*test field additional doc *test field additional doc,FALSE,,,hybrid,,<br>Testing field for localised content,
Jamaica,,,N/A,Commonwealth,,,,,,,,,,
Japan,,,TRUE,Digitised,3 months,,,,,,,,,
Jordan,,,,,,,,,,,,,,
Kazakhstan,,,,CNI,,,,,,,,,,
Kenya,,,N/A,Commonwealth,,,,,,,,,,
Kiribati,,,N/A,Commonwealth,,,,,,,,,,
Kosovo,,,,CNI,3 months,FALSE,,TRUE,,,FALSE,,,
Kuwait,,,,CNI,6 months,FALSE,,TRUE,,,FALSE,,,
Kyrgyzstan,,,,CNI,,,,,,,,,,
Laos,,,TRUE,Affirmation,,,,,,,,,,
Latvia,,,TRUE,Affirmation,6 months,,,FALSE,,,,,,
Lebanon,,,,,,,,,,,,,,
Lesotho,,,N/A,Commonwealth,,,,,,,,,,
Liberia,,,,,,,,,,,,,,
Libya,,,,None,,,,,,,,,,
Liechtenstein, or same-sex civil partnership,,,?,,,,,,,,,,
Lithuania,,,,CNI,6 months,FALSE,,FALSE,,,FALSE,,,
Luxembourg, or civil partnership,,,Affirmation,,,,,,,,,,
Macao,,,TRUE,Affirmation,,,,,,,,,,
Madagascar,,,,,,,,,,,,,,
Malawi,,,N/A,Commonwealth,,,,,,,,,,
Malaysia,,,N/A,Commonwealth,,,,,,,,,,
Maldives,,,N/A,Commonwealth,,,,,,,,,,
Mali,,,,CNI,6 months,FALSE,,TRUE,,,FALSE,,,
Malta, or opposite-sex civil partnership,,N/A,Commonwealth,,,,,,,,,,
Marshall Islands,,,TRUE,None,,,,,,,,,,
Martinique,,,,French territory,,,,,,,,,,
Mauritania,,,,CNI,3 months,FALSE,,TRUE,,,hybrid,£5.95,,
Mauritius,,,N/A,Commonwealth,,,,,,,,,,
Mayotte,,,,French territory,,,,,,,,,,
Mexico, or civil partnership,,,None,,,,,,,,,,
Micronesia,,,TRUE,None,,,,,,,,,,
Moldova,,,,CNI,3 months,FALSE,,TRUE,,,FALSE,,,
Monaco,,,,,,,,,,,,,,
Mongolia,,,TRUE,Affirmation,3 months,,,FALSE,,,,,,
Montenegro,,,,CNI,3 months,FALSE,,FALSE,,,FALSE,,,
Montserrat,,,,UK Overseas Territory,,,,,,,,,,
Morocco,,,,Digitised,3 months,,,TRUE,,,,,,
Mozambique,,,N/A,Commonwealth,,,,,,,,,,
Myanmar (Burma),,,N/A,None,,,,,,,,,,
Namibia,,,N/A,Commonwealth,,,,,,,,,,
Nauru,,,N/A,Commonwealth,,,,,,,,,,
Nepal,,,,CNI,3 months,FALSE,*partner’s national ID that includes their address,TRUE,,,FALSE,,,
Netherlands, or civil partnership,,,None,,,,,,,,,,
New Caledonia,,,,French territory,,,,,,,,,,
New Zealand, or civil partnership,,N/A,Commonwealth,,,,,,,,,,
Nicaragua,,,,CNI,3 months,FALSE,,FALSE,,,FALSE,,,
Niger,,,,,,,,,,,,,,
Nigeria,,,N/A,Commonwealth,,,,,,,,,,
North Korea,,,N/A,None,,,,,,,,,,
North Macedonia,,,,CNI,6 months,FALSE,,FALSE,,,FALSE,,,
Norway, or same-sex civil partnership,,TRUE,Affirmation,3 months,,,FALSE,,,,,,
Oman,,,TRUE,Affirmation,6 months,,,,,,,,,
Pakistan,,,N/A,Commonwealth,,,,,,,,,,
Palau,,,TRUE,None,,,,,,,,,,
Panama,,,,None,,,,,,,,,,
Papua New Guinea,,,N/A,Commonwealth,,,,,,,,,,
Paraguay,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,
Philippines,,,TRUE,Affirmation,3 months,,,FALSE,,,,,,
Pitcairn Island,,,TRUE,UK Overseas Territory,,,,,,,,,,
Poland, test field for civil partnership,,FALSE,CNI,6 months,HYBRID,*test field additional doc *test field additional doc,FALSE,,,FALSE,,<br>Test field localised content [test link](www.gov.uk),
Portugal, or same-sex civil partnership,,,None,,,,,,,,,,
Qatar,,,TRUE,Affirmation,3 months,,,FALSE,,,,,,
Réunion,,,,French territory,,,,,,,,,,
Romania,,,,,,,,,,,,,,
Russia,,,,CNI,,,,,,,,,,
Rwanda,,,N/A,Commonwealth,,,,,,,,,,
Samoa,,,N/A,Commonwealth,,,,,,,,,,
San Marino, or opposite-sex civil partnership,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,
Senegal,,,,CNI,6 months,FALSE,,TRUE,,,FALSE,,,
Serbia,,,,CNI,6 months,FALSE,,FALSE,,,TRUE,£3.95,,
Seychelles,,,N/A,Commonwealth,,,,,,,,,,
Sierra Leone,,,N/A,Commonwealth,,,,,,,,,,
Singapore,,,N/A,Commonwealth,,,,,,,,,,
Slovakia,,,,None,,,,,,,,,,
Slovenia, or same-sex civil partnership,,TRUE,Affirmation,6 months,,,FALSE,,,,,,
Solomon Islands,,,N/A,Commonwealth,,,,,,,,,,
Somalia,,,,,,,,,,,,,,
South Africa, or civil partnership,,N/A,Commonwealth,,,,,,,,,,
South Georgia and the South Sandwich Islands,,,,UK Overseas Territory,,,,,,,,,,
South Korea,,,TRUE,Affirmation,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,
Spain, or civil partnership,,,CNI,3 or 6 months (check with the person conducting your ceremony),TRUE,,FALSE,Status of Marriage Certificate (MSC),It helps confirm you’re free to marry.,TRUE,,,
Sri Lanka,,,N/A,Commonwealth,,,,,,,,,,
"St Helena, Ascension and Tristan da Cunha",,,,UK Overseas Territory,,,,,,,,,,
St Kitts and Nevis,,,N/A,Commonwealth,,,,,,,,,,
St Lucia,,,N/A,Commonwealth,,,,,,,,,,
St Maarten,,,,No consulate,,,,,,,,,,
St Barthélemy,,,,French territory,,,,,,,,,,
St Martin,,,,French territory,,,,,,,,,,
St Pierre & Miquelon,,,,French territory,,,,,,,,,,
St Vincent,,,N/A,Commonwealth,,,,,,,,,,
Sudan,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,
Sweden, or same-sex civil partnership,,TRUE,CNI,3 months,HYBRID,,TRUE,,,TRUE,,,
Switzerland, or same-sex civil partnership,,,?,,,,,,,,,,
Syria,,,,,,,,,,,,,,
